title,Ingridients,webLink,Images
Gennaro's classic spaghetti carbonara,"['3 large free-range egg yolks', '40 g Parmesan cheese , plus extra to serve', '1 x 150 g piece of higher-welfare pancetta', '200 g dried spaghetti', '1 clove of garlic', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/pasta-recipes/gennaro-s-classic-spaghetti-carbonara/,//img.jamieoliver.com/jamieoliver/recipe-database/oldImages/large/1558_1_1436795948.jpg?tr=w-330
A basic recipe for fresh egg pasta,"['6 large free-range eggs', '600 g Tipo 00 flour']",https://www.jamieoliver.com/recipes/pasta-recipes/a-basic-recipe-for-fresh-egg-pasta/,//img.jamieoliver.com/jamieoliver/recipe-database/oldImages/large/5_1_1439294464.jpg?tr=w-330
Super-quick fresh pasta,"['2 large handfuls of plain flour , plus extra for dusting']",https://www.jamieoliver.com/recipes/pasta-recipes/super-quick-fresh-pasta/,https://img.jamieoliver.com/jamieoliver/recipe-database/105104803.jpg?tr=w-330
Scruffy aubergine lasagne,"['3 large aubergines , (400g each)', '3 onions', '6 cloves of garlic', '1 bunch of fresh sage , (30g)', 'olive oil', '1 teaspoon dried chilli flakes', '1 lemon', '2 x 400 g tins of quality plum tomatoes', '80 g mature Cheddar cheese', '80 g Parmesan cheese', '300 g fresh lasagne sheets', '50 g blanched almonds']",https://www.jamieoliver.com/recipes/pasta-recipes/scruffy-aubergine-lasagne/,https://img.jamieoliver.com/jamieoliver/recipe-database/92507808.jpg?tr=w-330
Meatballs &  pasta,"[""12 Jacob's cream crackers"", '4 sprigs of fresh rosemary', '2 heaped teaspoons Dijon mustard', '500 g quality minced beef, pork, or a mixture of the two', '1 heaped tablespoon dried oregano', '1 large free-range egg', 'olive oil', '1 bunch of fresh basil', '1 medium onion', '2 cloves of garlic', '½ a fresh or dried red chilli', '2 x 400 g tin of plum tomatoes', '2 tablespoons balsamic vinegar', '400 g dried spaghetti or penne', 'Parmesan cheese']",https://www.jamieoliver.com/recipes/pasta-recipes/meatballs-and-pasta/,//img.jamieoliver.com/jamieoliver/recipe-database/oldImages/large/331_1_1436865256.jpg?tr=w-330
Buddy’s tuna pasta,"['1 leek', '½ a fresh chilli , optional', '1 clove of garlic', '1 x 400 g tin of quality plum tomatoes', '1 x 80 g tin of tuna in spring water , from sustainable sources', '130 g dried spaghetti', '2 sprigs of fresh basil', 'Parmesan cheese , to serve']",https://www.jamieoliver.com/recipes/pasta-recipes/buddy-s-tuna-pasta/,https://img.jamieoliver.com/jamieoliver/recipe-database/123301865.jpg?tr=w-330
Joe Lycett's wild boar ragù,"['1.5 kg higher-welfare wild boar , sinew removed (use a mixture of shoulder, leg and loin)', '4 red onions', '2 carrots', '2 sticks of celery', '5 juniper berries', '5 fresh bay leaves', '1 bottle of Trecciano Chianti red wine', '50 g higher-welfare pancetta or lardo', 'olive oil', '700 g passata', '2 litres organic beef stock', 'Parmesan cheese , optional', 'extra virgin olive oil', 'PASTA DOUGH', '4 large free-range eggs', '2 tablespoons olive oil , plus extra for greasing', '1 kg Tipo 00 flour , plus extra for dusting']",https://www.jamieoliver.com/recipes/ragu-recipes/joe-lycett-s-wild-boar-rag/,https://img.jamieoliver.com/jamieoliver/recipe-database/118092352.jpg?tr=w-330
Whole roasted ricotta pasta,"['1 bunch of fresh oregano , (30g)', '3 cloves of garlic', 'olive oil', 'red wine vinegar', '400 g mixed-colour cherry tomatoes', '1 red pepper', '1 yellow pepper', '1 onion', '2 fresh red chillies', '1 tablespoon baby capers', '250 g quality ricotta cheese', '450 g rigatoni pasta', '30 g Parmesan cheese']",https://www.jamieoliver.com/recipes/pasta-recipes/whole-roasted-ricotta-pasta/,https://img.jamieoliver.com/jamieoliver/recipe-database/117867065.jpg?tr=w-330
Joe Wicks' ravioli alla Napoletana,"['PASTA DOUGH', '600 g Tipo ‘00’ flour , plus extra for dusting', '18 large free-range eggs', 'semolina or rice flour , for dusting', 'RICOTTA & PROSCIUTTO FILLING', '2 slices of higher-welfare prosciutto', '1 lemon', '1 whole nutmeg , for grating', '100 g Parmesan cheese', '250 g Westcombe ricotta', 'QUICK TOMATO SAUCE', '2 cloves of garlic', 'olive oil', '1 teaspoon dried chilli flakes', '1 x 400 g tin of quality cherry tomatoes', '½ a bunch of fresh basil , (15g)', 'LEMON SAUCE', '50 g unsalted butter', '1 lemon', '50 g Parmesan cheese , plus extra for grating', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/pasta-recipes/joe-wicks-ravioli-alla-napoletana/,https://img.jamieoliver.com/jamieoliver/recipe-database/117461949.jpg?tr=w-330
Creamy prawn linguine,"['150 g dried linguine', '2 cloves of garlic', '160 g raw peeled king prawns , from sustainable sources', '4 rashers of higher-welfare smoked pancetta', 'olive oil', '50 ml Italian red wine', '1 heaped tablespoon mascarpone cheese', '50 g rocket', '10 g Parmesan cheese']",https://www.jamieoliver.com/recipes/pasta-recipes/creamy-prawn-linguine/,https://img.jamieoliver.com/jamieoliver/recipe-database/119338870.jpg?tr=w-330
Stinging nettle ravioli,"['500 g Tipo “00” flour , plus extra for dusting', '5 large free-range eggs', '250 g stinging nettles or greens , such as spinach', '2 leeks', 'unsalted butter', '½ a bunch of fresh marjoram or thyme , (15g)', '1 whole nutmeg', '100 g Parmesan cheese', '100 g soft cheese such as ricotta, brie, feta']",https://www.jamieoliver.com/recipes/pasta-recipes/stinging-nettle-ravioli/,https://img.jamieoliver.com/jamieoliver/recipe-database/107466081.jpg?tr=w-330
Quick green pasta,"['6 spring onions', '1 leek', '1 large handful of Tenderstem broccoli spears', 'olive oil', '2 cloves of garlic', '100 g frozen spinach', '2 large handfuls of frozen peas', '450 g dried pasta', '50 g Parmesan cheese , plus extra to serve', 'extra virgin olive oil', 'optional: fresh herbs , to serve']",https://www.jamieoliver.com/recipes/pasta-recipes/quick-green-pasta/,https://img.jamieoliver.com/jamieoliver/recipe-database/105564455.jpg?tr=w-330
Buddy's Bolognese,"['2 free-range pork sausages', 'olive oil', '500 g lean beef mince', '2 onions', '2 cloves of garlic', '1 large carrot', '1 stick of celery', '1 courgette', '2 tablespoons thick balsamic vinegar', '2 x 400 g tins of plum tomatoes', '1 heaped teaspoon tomato purée', '450 g dried spaghetti', 'Parmesan cheese , to serve']",https://www.jamieoliver.com/recipes/pasta-recipes/buddys-bolognese/,https://img.jamieoliver.com/jamieoliver/recipe-database/103736983.jpg?tr=w-330
Beautiful courgette carbonara,"['6 medium green and yellow courgettes', '500 g penne', '4 large free-range eggs', '100 ml single cream', '1 small handful of Parmesan cheese', 'olive oil', '6 slices of higher-welfare back bacon', '½ a bunch of fresh thyme , (15g)', 'a few courgette flowers , (optional)']",https://www.jamieoliver.com/recipes/pasta-recipes/beautiful-courgette-penne-carbonara/,https://img.jamieoliver.com/jamieoliver/recipe-database/94356757.jpg?tr=w-330
Summer tagliatelle,"['1 bunch of fresh basil , (30g)', '½ a clove of garlic', '50 g blanched almonds', 'extra virgin olive oil', '25 g Parmesan cheese , plus extra to serve', '¼ of a lemon', '1 Maris Piper potato', '125 g green beans', '300 g tagliatelle', '200 g delicate summer veg , such as broad beans, peas, tenderstem broccoli']",https://www.jamieoliver.com/recipes/pasta-recipes/summer-tagliatelle/,https://img.jamieoliver.com/jamieoliver/recipe-database/94741158.jpg?tr=w-330
Sweet leek carbonara,"['2 large leeks', '4 cloves of garlic', '4 sprigs of fresh thyme', '1 knob of unsalted butter', 'olive oil', '300 g dried spaghetti', '50 g Parmesan or pecorino cheese , plus extra to serve', '1 large free-range egg']",https://www.jamieoliver.com/recipes/pasta-recipes/sweet-leek-carbonara/,https://img.jamieoliver.com/jamieoliver/recipe-database/92507809.jpg?tr=w-330
Greens mac 'n' cheese,"['1 large leek', '3 cloves of garlic', '400 g purple sprouting or tenderstem broccoli', '40 g unsalted butter', '½ a bunch of fresh thyme , (15g)', '2 tablespoons plain flour', '1 litre semi-skimmed milk', '450 g dried macaroni', '30 g Parmesan cheese', '150 g mature Cheddar cheese', '100 g baby spinach', '50 g flaked almonds']",https://www.jamieoliver.com/recipes/pasta-recipes/greens-mac-n-cheese/,https://img.jamieoliver.com/jamieoliver/recipe-database/92507790.jpg?tr=w-330
Honeymoon spaghetti,"['1 x 1.5 kg crab or lobster', '30 g unsalted butter', 'olive oil', '2 cloves of garlic', '1 fresh red chilli', '450 g mussels', '100 g squid', '200 g raw shell-off tiger prawns or small prawns', '450 g dried spaghetti', '1 bunch of flat-leaf parsley , (30g)', '1 bunch of marjoram , (30g)', '1 large free-range egg', 'Sauce', '3 cloves of garlic', '1 fresh red chilli', 'olive oil', '2 x 400 g tins of quality plum tomatoes']",https://www.jamieoliver.com/recipes/pasta-recipes/honeymoon-spaghetti/,https://img.jamieoliver.com/jamieoliver/recipe-database/103355886.jpg?tr=w-330
Basic recipe for fresh egg pasta dough,"[""600 g Tipo '00' flour"", '6 large free-range eggs , or 12 large free-range egg yolks']",https://www.jamieoliver.com/recipes/pasta-recipes/basic-recipe-for-fresh-egg-pasta-dough/,https://img.jamieoliver.com/jamieoliver/recipe-database/90297564.jpg?tr=w-330
"Rotolo of spinach, squash & ricotta","['450 g', '½ a butternut squash', 'olive oil', '1 teaspoon coriander seeds', '1 teaspoon fennel seeds', '½ a dried red chilli', '1 handful of fresh marjoram , or oregano', '2 cloves of garlic', '800 g spinach', '250 g unsalted butter', '1 whole nutmeg , for grating', '150 g crumbly ricotta cheese', '50 g Parmesan cheese , plus extra for serving', '20 fresh sage leaves']",https://www.jamieoliver.com/recipes/pasta-recipes/rotolo-of-spinach-squash-ricotta/,https://img.jamieoliver.com/jamieoliver/recipe-database/90246167.jpg?tr=w-330
Broccoli & anchovy orecchiette,"['2 large heads of broccoli', '2 large cloves of garlic', '8 anchovy fillets , in oil, from sustainable sources', '4 good knobs of butter', '2-4 small dried red chillies , to taste', '450 g dried orecchiette', 'Parmesan cheese']",https://www.jamieoliver.com/recipes/pasta-recipes/broccoli-anchovy-orecchiette/,https://img.jamieoliver.com/jamieoliver/recipe-database/89080408.jpg?tr=w-330
"Spaghetti with anchovies, dried chilli & pangrattato","['450 g dried spaghetti', '2 cloves of garlic', 'olive oil', '16 anchovy fillets', '2 lemons', '2 small dried red chillies', 'PANGRATTATO', 'olive oil', '1 clove of garlic', '1 good handful of fresh thyme', '200 g fresh breadcrumbs']",https://www.jamieoliver.com/recipes/pasta-recipes/spaghetti-with-anchovies-dried-chilli-pangrattato/,https://img.jamieoliver.com/jamieoliver/recipe-database/89080412.jpg?tr=w-330
Epic vegan lasagne,"['20 g dried porcini mushrooms', '2 large red onions', '6 cloves of garlic', '2 carrots', '2 sticks of celery', '2 sprigs of fresh rosemary', 'olive oil', '1 teaspoon dried chilli flakes', '2 fresh bay leaves', '100 ml vegan Chianti wine', '1 x 400 g tin of green lentils', '2 x 400 g tins of quality plum tomatoes', '750 g mixed wild mushrooms', '½ a bunch of fresh thyme , (15g)', '2 slices of sourdough , (100g)', '70 g vegan Cheddar cheese', '½ a bunch of fresh sage , (15g)', 'extra virgin olive oil', 'PASTA', '400 g durum wheat flour , or fine semolina flour, plus extra for dusting', 'WHITE SAUCE', 'olive oil', '4 heaped tablespoons plain flour', '800 ml almond milk']",https://www.jamieoliver.com/recipes/pasta-recipes/epic-veg-lasagne/,https://img.jamieoliver.com/jamieoliver/recipe-database/85520603.jpg?tr=w-330
Danny Devito's family pasta,"['400 g durum wheat flour , plus extra for dusting', '1 kg ripe tomatoes', '6 cloves of garlic', 'olive oil', '2 peperoni cruschi , (dried Senise peppers)', '100 g quality breadcrumbs', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/pasta-recipes/danny-devito-s-family-pasta/,https://img.jamieoliver.com/jamieoliver/recipe-database/83653989.jpg?tr=w-330
Amazing ravioli,"['¼ x', 'fine semolina , for dusting', 'FILLING', '1 radicchio , or 2 red chicory (150g in total)', '1 large red onion', '80 ml balsamic vingar', 'olive oil', '1 bunch of fresh thyme , (30g)', '300 g Maris Piper potatoes', '50 g Parmesan cheese , plus extra to serve', '100 g fontina cheese', '75 g blanched hazelnuts', '40 g unsalted butter', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/pasta-recipes/amazing-ravioli/,https://img.jamieoliver.com/jamieoliver/recipe-database/83619428.jpg?tr=w-330
Classic tomato spaghetti,"['2 cloves of garlic', '1 fresh red chilli', '1 bunch of fresh basil , (30g)', '300 g dried spaghetti', 'olive oil', '1 x 400 g tin of quality plum tomatoes', '80 g Parmesan cheese']",https://www.jamieoliver.com/recipes/pasta-recipes/classic-tomato-spaghetti-and-parmesan/,https://img.jamieoliver.com/jamieoliver/recipe-database/91994146.jpg?tr=w-330
Squash & spinach pasta rotolo,"['1 butternut squash , (roughly 1.2kg)', '1 red onion', 'olive oil', '1 teaspoon dried thyme', '500 g frozen spinach', '1 whole nutmeg , for grating', '4 cloves of garlic', '1 x 700 ml jar of passata', '6 large fresh pasta sheets , (roughly 15cm x 20cm each)', '50 g feta cheese', '20 g Parmesan cheese', 'a few sprigs of fresh sage , optional']",https://www.jamieoliver.com/recipes/pasta-recipes/squash-spinach-pasta-rotolo/,https://img.jamieoliver.com/jamieoliver/recipe-database/105804440.jpg?tr=w-330
Summer veg lasagne,"['1 bunch of spring onions', '½ x 30 g tin of anchovies in oil , from sustainable sources', '6 cloves of garlic', '700 g asparagus', '500 g frozen peas', '300 g frozen broad beans', '1 big bunch of fresh mint , (60g)', '300 ml single cream', '1 lemon', '300 m organic vegetable stock', '2 x 250 g tubs of cottage cheese', '500 g fresh lasagne sheets', 'Parmesan cheese', 'olive oil', 'a few sprigs of fresh thyme']",https://www.jamieoliver.com/recipes/pasta-recipes/summer-veg-lasagne/,https://img.jamieoliver.com/jamieoliver/recipe-database/75943234.jpg?tr=w-330
Aubergine & black chickpea orecchiette,"['1 x', ', (or 300g dried orecchiette)', '150 g dried black or regular chickpeas', '1 aubergine', '1 courgette', '1 onion', '1 tablespoon olive oil', '½ a lemon']",https://www.jamieoliver.com/recipes/pasta-recipes/aubergine-black-chickpea-orecchiette/,https://img.jamieoliver.com/jamieoliver/recipe-database/77732372.jpg?tr=w-330
Potato gnocchi,"['1 kg floury potatoes , such as Maris Piper, King Edward', '100 g Tipo 00 flour , plus extra for dusting', '1 whole nutmeg , for grating']",https://www.jamieoliver.com/recipes/potato-recipes/potato-gnocchi/,https://img.jamieoliver.com/jamieoliver/recipe-database/77878571.jpg?tr=w-330
Corteccia,"['400 g durum wheat flour , or fine semolina flour, plus extra for dusting', '400 g sprouting broccoli , or cime di rapa', 'olive oil', '2 cloves of garlic', '4 anchovy fillets in oil , from sustainable sources', '1 pinch of dried red chilli flakes', '40 g pecorino , or Parmesan cheese, plus extra to serve', 'extra virgin olive oil', '1 lemon']",https://www.jamieoliver.com/recipes/pasta-recipes/corteccia/,https://img.jamieoliver.com/jamieoliver/recipe-database/98055251.jpg?tr=w-330
Orecchiette,"['400 g durum wheat flour , or fine semolina flour, plus extra for dusting']",https://www.jamieoliver.com/recipes/pasta-recipes/orecchiette/,https://img.jamieoliver.com/jamieoliver/recipe-database/77732368.jpg?tr=w-330
Sausage linguine,"['150 g dried linguine', '200 g broccoletti , or sprouting broccoli', 'olive oil', '1 large higher-welfare sausage , (125g)', '1 clove of garlic', '2 anchovy fillets in oil , from sustainable sources', '1 pinch of dried red chilli flakes', '100 ml Frascati white wine', '20 g pecorino , or Parmesan cheese', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/pasta-recipes/sausage-linguine/,https://img.jamieoliver.com/jamieoliver/recipe-database/77878570.jpg?tr=w-330
Tuna fettuccine,"['50 g whole almonds', '1 small onion', '2 cloves of garlic', '4 anchovy fillets in oil , from sustainable sources', 'olive oil', '300 g dried fettuccine , or linguine', '4 baby courgettes , with flowers', '300 g yellowfin tuna , from sustainable sources', '1 x 400 g tin of quality cherry tomatoes', '1 lemon', '30 g pecorino cheese', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/pasta-recipes/tuna-fettuccine/,https://img.jamieoliver.com/jamieoliver/recipe-database/77460210.jpg?tr=w-330
Sausage cavatelli,"['400 g durum wheat flour , or fine semolina flour, plus extra for dusting', 'olive oil', '1 dried red chilli', '1 dried red pepper , (see tip) or 1 teaspoon sweet paprika', '½ a bunch of fresh thyme , (15g)', '1 large higher-welfare quality spicy sausage , (125g)', '1 red onion', '2 cloves of garlic', '125 ml southern Italian white wine', '1 x 400 g tin of quality plum tomatoes', '40 g pecorino , or Parmesan cheese']",https://www.jamieoliver.com/recipes/pasta-recipes/sausage-cavatelli/,https://img.jamieoliver.com/jamieoliver/recipe-database/77878468.jpg?tr=w-330
Prawn & tuna linguine,"['2 small onions', '4 large raw shell-on prawns , from sustainable sources', 'olive oil', '1 cinnamon stick', '2 anchovy fillets in oil , from sustainable sources', '1 good pinch of saffron', '4 tablespoons white wine vinegar', '50 g shelled unsalted pistachios', 'pecorino or Parmesan cheese rind', '150 g dried linguine', '200 g yellowfin tuna , from sustainable sources', '½ a bunch of fresh flat-leaf parsley , (15g)']",https://www.jamieoliver.com/recipes/pasta-recipes/prawn-tuna-linguine/,https://img.jamieoliver.com/jamieoliver/recipe-database/77638953.jpg?tr=w-330
Asparagus linguine,"['300 g dried linguine', '300 g mixed asparagus , (wild, white, regular)', '4 cloves of garlic', '2 dried red chillies', 'olive oil', '1 knob of unsalted butter', '30 g pecorino , or Parmesan cheese, plus extra to serve', '1 lemon']",https://www.jamieoliver.com/recipes/pasta-recipes/asparagus-linguine/,https://img.jamieoliver.com/jamieoliver/recipe-database/77878573.jpg?tr=w-330
Tortiglioni,"['350 g fresh peas , in their pods', '80 g piece of higher-welfare guanciale (cured pig’s cheek) , or smoked pancetta', '150 g dried tortiglioni , or rigatoni', '2 shallots', '½ a lemon', '½ a bunch of fresh mint , (15g)', '30 g pecorino cheese , plus extra to serve', 'extra virgin olive oil', 'pea shoots , to serve (optional)']",https://www.jamieoliver.com/recipes/pasta-recipes/tortiglioni/,https://img.jamieoliver.com/jamieoliver/recipe-database/77878569.jpg?tr=w-330
Nonna Teresa's pasta,"['300 g dried bucatini , or rigatoni', 'olive oil', '50 g coarse stale breadcrumbs', '1 teaspoon dried red chilli flakes', '5 cm fresh horseradish', '2 cloves of garlic', '½ a bunch of fresh thyme , (15g)', '2 dried red peppers , (see tip) or 8 sun-dried tomatoes', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/pasta-recipes/nonna-teresas-pasta/,https://img.jamieoliver.com/jamieoliver/recipe-database/77878467.jpg?tr=w-330
Veal ragù cannelloni,"['2 onions', '2 sticks of celery', '4 cloves of garlic', '2 medium leeks', '500 g Maris Piper potatoes', '½ a bunch of fresh thyme , (15g)', '40 g unsalted butter', 'olive oil', '4 fresh bay leaves', '500 g minced rose veal', '500 g minced higher-welfare pork shoulder', '300 ml white wine', '1 whole nutmeg , for grating', '2 tablespoons plain flour', '2 litres semi-skimmed milk', '½ teaspoon dried red chilli flakes', '500 g stinging nettles', '500 g baby spinach', '240 g mixed cheese , such as Cheddar, Lancashire, Berkswell', '250 g dried cannelloni tubes', '200 g button mushrooms']",https://www.jamieoliver.com/recipes/pasta-recipes/veal-ragu-cannelloni/,https://img.jamieoliver.com/jamieoliver/recipe-database/64503715.jpg?tr=w-330
Ashley Jensen's Umbrian pasta,"['½ x', 'Tipo 00 flour , for dusting', '2 cloves of garlic', '3 fresh porcini mushrooms , (200g in total)', '1 whole Umbrian truffle , (15g)', 'extra virgin olive oil', '2 sprigs of fresh thyme', '2 anchovy fillets in oil , from sustainable sources', '20 g unsalted butter', '20 g Grana Padano cheese']",https://www.jamieoliver.com/recipes/pasta-recipes/umbrian-pasta/,https://img.jamieoliver.com/jamieoliver/recipe-database/83619396.jpg?tr=w-330
Sarah Millican's Tuscan sausage & tomato pasta,"['1 onion', '1 carrot', '1 stick of celery', '1 bunch of fresh basil , (30g)', 'olive oil', '4 quality Italian sausages , (250g in total)', '1 heaped teaspoon fennel seeds', '1 teaspoon dried oregano , ideally the flowering kind', '1 pinch of dried chilli flakes', '1 sprig of fresh rosemary', '4 cloves of garlic', '2 tablespoons balsamic vinegar', '2 x 400 g tins of quality plum tomatoes', '300 g dried penne', '40 g Parmesan cheese , plus extra to serve', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/pasta-recipes/sarah-millican-s-tuscan-sausage-tomato-pasta/,https://img.jamieoliver.com/jamieoliver/recipe-database/63138398.jpg?tr=w-330
Cracker ravioli,"['1 butternut squash , (1.2kg)', '250 g ricotta cheese', '½ teaspoon dried red chilli flakes', '1 whole nutmeg , for grating', 'olive oil', '200 g vac-packed chestnuts', '½ a bunch of fresh sage , (15g)', '20 g Parmesan cheese , plus extra to serve', 'PASTA', '1 x', '75 g baby spinach', 'semolina , for dusting', 'BUTTER SAUCE', '100 g unsalted butter', '4 clementines', 'TO SERVE', '50 g skin-on almonds']",https://www.jamieoliver.com/recipes/pasta-recipes/cracker-ravioli/,https://img.jamieoliver.com/jamieoliver/recipe-database/63841221.jpg?tr=w-330
Pippa's spaghetti Bolognese,"['½ an onion', '½ a carrot', '1 stick of celery', '50 g higher-welfare pancetta', '15 g unsalted butter', 'olive oil', '250 g higher-welfare minced pork', '250 g minced beef', '150 ml red wine', '3½ heaped tablespoons tomato purée', '1.2 litres organic chicken or vegetable stock', '1 fresh bay leaf', '2 sprigs of fresh oregano', '300 g dried spaghetti', 'Parmesan cheese', 'extra virgin olive oil', '1 sprig of fresh rosemary']",https://www.jamieoliver.com/recipes/pasta-recipes/bolognese/,https://img.jamieoliver.com/jamieoliver/recipe-database/58419467.jpg?tr=w-330
Daisy's macaroni cheese,"['250 g portobello mushrooms', '100 g sun-dried tomatoes in oil', '½ a bunch of fresh thyme (15g)', 'olive oil', '3 rashers of higher-welfare smoked streaky bacon', '70 g breadcrumbs', '½ a bunch of fresh flat-leaf parsley (15g)', '300 g dried macaroni', '80 g unsalted butter', '80 g plain flour', '1 litre whole milk', '50 g Cheddar cheese', '50 g Emmental cheese', '50 g Gruyère cheese', 'higher-welfare chipolata sausages , optional']",https://www.jamieoliver.com/recipes/pasta-recipes/daisy-s-macaroni-cheese/,https://img.jamieoliver.com/jamieoliver/recipe-database/58419471.jpg?tr=w-330
Rosé pesto prawn pasta,"['300 g large raw shell-on king prawns , from sustainable sources', '4 cloves of garlic', '2 heaped teaspoons red pesto', '150 g dried taglierini or angel-hair pasta', '150 ml light rosé wine']",https://www.jamieoliver.com/recipes/prawn-recipes/rose-pesto-prawn-pasta/,https://img.jamieoliver.com/jamieoliver/recipe-database/107865056.jpg?tr=w-330
Pear & gorgonzola farfalle,"['150 g dried farfalle', '75 g Gorgonzola cheese', '½ a radicchio , or 2 red chicory', '2 super-ripe pears', '30 g shelled unsalted walnut halves']",https://www.jamieoliver.com/recipes/pasta-recipes/pear-gorgonzola-farfalle/,https://img.jamieoliver.com/jamieoliver/recipe-database/89080982.jpg?tr=w-330
Spicy 'nduja vongole,"['150 g dried linguine', '500 g clams , scrubbed, from sustainable sources', '20 g higher-welfare ’nduja', '½ a bunch of fresh flat-leaf parsley , (15g)', '100 ml light rosé wine']",https://www.jamieoliver.com/recipes/seafood-recipes/spicy-nduja-vongole/,https://img.jamieoliver.com/jamieoliver/recipe-database/64975493.jpg?tr=w-330
Garlic mushroom pasta,"['150 g dried trofie , or fusilli', '2 cloves of garlic', '250 g mixed mushrooms', '25 g Parmesan cheese', '2 heaped tablespoons half-fat crème fraîche']",https://www.jamieoliver.com/recipes/mushroom-recipes/garlic-mushroom-pasta/,https://img.jamieoliver.com/jamieoliver/recipe-database/73711714.jpg?tr=w-330
Sicilian tuna pasta,"['300 g dried pasta shells', '4 heaped teaspoons baby capers', '500 g ripe mixed-colour cherry tomatoes', '1 tablespoon dried oregano , ideally the flowering kind', '1 x 220 g jar of tuna in olive oil , from sustainable sources']",https://www.jamieoliver.com/recipes/pasta-recipes/sicilian-tuna-pasta/,https://img.jamieoliver.com/jamieoliver/recipe-database/108100220.jpg?tr=w-330
Aubergine penne arrabbiata,"['12 fresh mixed-colour chillies', '2 aubergines , (500g total)', '300 g dried wholewheat penne', '4 cloves of garlic', '1 x 400 g tin of quality plum tomatoes']",https://www.jamieoliver.com/recipes/pasta-recipes/aubergine-penne-arrabbiata/,https://img.jamieoliver.com/jamieoliver/recipe-database/64975500.jpg?tr=w-330
Easy sausage carbonara,"['150 g dried tagliatelle', '3 higher-welfare sausages', '½ a bunch of fresh flat-leaf parsley (15g)', '1 large free-range egg', '30 g Parmesan cheese']",https://www.jamieoliver.com/recipes/pasta-recipes/easy-sausage-carbonara/,https://img.jamieoliver.com/jamieoliver/recipe-database/55846362.jpg?tr=w-330
Amanda's linguine vongole,"['150 g dried linguine', '2 cloves of garlic', '1 bunch of fresh flat-leaf parsley', '500 g clams , scrubbed, from sustainable sources', 'olive oil', '1 pinch of dried red chilli flakes', '125 ml dry white wine', 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/pasta-recipes/amanda-s-linguine-vongole/,https://img.jamieoliver.com/jamieoliver/recipe-database/58426532.jpg?tr=w-330
Crab & fennel spaghetti,"['1 bulb of fennel', '150 g dried spaghetti', '1 fresh red chilli', '160 g ripe mixed-colour cherry tomatoes', '160 g mixed brown & white crabmeat , from sustainable sources']",https://www.jamieoliver.com/recipes/pasta-recipes/crab-fennel-spaghetti/,https://img.jamieoliver.com/jamieoliver/recipe-database/55846357.jpg?tr=w-330
